"","Made Donation in March 2007"
659,0.45619991679242
276,0.110875769125578
263,0.25158311549606
303,0.331337117787192
83,0.532691063215607
500,0.734584191059004
530,0.273090151949299
244,0.0979582996614808
249,0.0166033887584573
728,0.081580868872388
129,0.170918332538433
534,0.144604731398851
317,0.225232010929564
401,0.25158311549606
696,0.358001637230991
192,0.132258073441551
176,0.262454154480274
571,0.433925392620356
139,0.0504142628578489
423,0.364849797250394
563,0.467558206824982
56,0.363548610228647
528,0.414808664242822
101,0.25158311549606
467,0.311740870474126
382,0.221387543109897
466,0.400535892378543
294,0.0979582996614808
512,0.368230343880526
659,0.45619991679242
389,0.235499966758164
487,0.0277438341914361
701,0.296462527359838
419,0.254497512830944
536,0.239576569092803
240,0.275232283002363
508,0.272586618739466
515,0.0979582996614808
283,0.400775326911869
650,0.25158311549606
65,0.381719315327698
228,0.159550606206476
741,0.0533104198346217
297,0.428631830166912
464,0.149870249047052
63,0.296462527359838
231,0.398396410051084
28,0.141145846024913
248,0.0979582996614808
357,0.186924230194871
300,0.474972018920903
726,0.520495485567917
680,0.177004031331428
520,0.340990538246161
254,0.0555187323329138
582,0.200216210953536
143,0.182215674738652
98,0.427338449072201
1,0.353167866639991
221,0.449857644038389
352,0.25158311549606
64,0.154097331688172
138,0.22454799733027
745,0.309589068875769
64,0.154097331688172
688,0.119434666957158
623,0.115792981016856
289,0.157101598381953
174,0.33544072334994
690,0.25158311549606
105,0.213429740173489
427,0.146812463315213
48,0.00716073610150042
14,0.25158311549606
657,0.053051864383125
301,0.137505577075092
455,0.155448209552108
579,0.222630895261972
722,0.135823679131492
98,0.427338449072201
491,0.00716073610150042
303,0.331337117787192
466,0.400535892378543
65,0.381719315327698
300,0.474972018920903
9,0.0469282043842722
622,0.132258073441551
323,0.120210079787539
289,0.157101598381953
568,0.401643540831638
290,0.25158311549606
156,0.189083710634861
464,0.149870249047052
426,0.0882719746555972
306,0.231080000178705
4,0.311092588373933
12,0.397272373695671
187,0.248506959826196
406,0.0606048008245166
96,0.273090151949299
509,0.296462527359838
733,0.14508173931078
548,0.077026860310484
478,0.280925685924263
501,0.193316603025278
127,0.454907790335418
199,0.152566343888151
299,0.422620618828605
162,0.25158311549606
235,0.13211553242516
23,0.233036635556288
473,0.25158311549606
487,0.0277438341914361
683,0.455155049254422
303,0.331337117787192
309,0.0519666509838463
569,0.0377947421716745
34,0.427746981948913
686,0.617323941351134
84,0.363299206198339
733,0.14508173931078
537,0.49297121969023
181,0.198612667970984
453,0.690993694674685
67,0.401787416886843
161,0.347351328135351
307,0.30079206712089
703,0.145548175055806
181,0.198612667970984
246,0.108231643495086
316,0.406161651963165
278,0.132258073441551
346,0.208966732349809
545,0.25158311549606
419,0.254497512830944
694,0.273090151949299
622,0.132258073441551
663,0.0662711079856021
262,0.614939573495002
461,0.162050053020436
373,0.817667072023245
233,0.25158311549606
466,0.400535892378543
207,0.182215674738652
263,0.25158311549606
16,0.0377947421716745
513,0.0637634970548768
449,0.348891112204818
429,0.037571653930508
701,0.296462527359838
632,0.0636104247215242
529,0.558708084240908
245,0.305961221769179
344,0.14702166629992
353,0.128072200665019
241,0.25012477127814
633,0.0797238277990779
624,0.296462527359838
726,0.520495485567917
189,0.132258073441551
138,0.22454799733027
402,0.0979582996614808
511,0.424175161572867
590,0.398207457748472
334,0.235713298219708
447,0.0892249969719966
119,0.400535892378543
389,0.235499966758164
644,0.25158311549606
423,0.364849797250394
131,0.0377947421716745
405,0.00572061213317271
82,0.25158311549606
643,0.829395338039335
156,0.189083710634861
617,0.0740162812098358
574,0.428223084587253
272,0.176349786666019
613,0.113844288793934
545,0.25158311549606
685,0.0979582996614808
570,0.220317955858725
537,0.49297121969023
691,0.0797238277990779
85,0.391666426104643
483,0.108231643495086
455,0.155448209552108
93,0.132258073441551
744,0.296462527359838
33,0.108231643495086
321,0.669121074571221
523,0.292521351607063
426,0.0882719746555972
196,0.139797070752542
301,0.137505577075092
103,0.0797238277990779
224,0.0672871543923392
454,0.0906139571442435
585,0.0581664103151883
154,0.307757277094065
